vessel_name	vessel_service	vessel_class	vessel_type	vessel_subtype	flag_desc	vessel_activity_role_desc	waterway_name	substance_name	substance_class	substance_subclass	substance_type	substance_subtype	latitude	longitude	discharge_amnt_total	discharge_situation_type	unit_of_measure
KELLY ANN	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Suspected Pollution Source		"Oil, misc: Lubricating"	OIL	Petroleum	"Oil, misc"	Lubricating	33.36196667	-79.27998333	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
BOBBABUOY	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	Cleared Suspect Pollution Source		Oil: Diesel	OIL	Petroleum	Oil	Diesel	41.56	-72.64483333	10	Point-source one-time discharge	GALLONS (Liquids Only)
A. Regina	Unclassified	Miscellaneous Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	GUAYANILLA BAY	Gas oil: Cracked	OIL	Petroleum	Gas oil	Cracked	17.98332	-66.7796	10	Point-source one-time discharge	GALLONS (Liquids Only)
NO NAME	Recreational	Recreational	Motor Propelled Vessels	Sport Fisher	UNITED STATES	Acknowledged Pollution Source	ATLANTIC INTRACOASTAL WATERWAY	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	25.905655	-80.128567	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
BG	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	PUGET SOUND	Oil: Diesel	OIL	Petroleum	Oil	Diesel	48.46294	-122.7431	10	Point-source one-time discharge	GALLONS (Liquids Only)
TITANIC	Recreational	Recreational	Motor Propelled Vessels	General	SAINT KITTS AND NEVIS	Acknowledged Pollution Source	JOBOS HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	18.09589	-66.50751	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
LINDA J	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Pot/Trap	UNITED STATES	Alleged Pollution Source	SANTA BARBARA HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	34.41568	-119.6703	10	Point-source one-time discharge	GALLONS (Liquids Only)
Contigo Ventures	Recreational	Recreational	Motor Propelled Vessels	Sport Fisher	UNSPECIFIED	Acknowledged Pollution Source	GULF INTRACOASTAL WATERWAY	"Oil, fuel: No. 2-D"	OIL	Petroleum	"Oil, fuel"	No. 2-D	28.40986	-96.479295	10	Point-source one-time discharge	GALLONS (Liquids Only)
FL3180FX	Recreational	Recreational	Motor Propelled Vessels	"Yacht, Trawler Type"	UNITED STATES	Acknowledged Pollution Source	CHOCTAWHATCHEE BAY ENTRANCE/Destin Harbor	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	30.39803	-86.52174	10	Point-source one-time discharge	GALLONS (Liquids Only)
JMC-159	Freight Barge	Barge	General	General	UNITED STATES	Acknowledged Pollution Source	Gulf Intracoastal Waterway	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		30.15254	-89.52309	10	Point-source one-time discharge	GALLONS (Liquids Only)
INT'L DISCOVERER	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Acknowledged Pollution Source	BAYOU LAFOURCHE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.16017	-90.23445	10	Point-source one-time discharge	GALLONS (Liquids Only)
IRONWOOD	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	SITKA HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	57.04639	-135.3386	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
FL 8687 DA	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	Acknowledged Pollution Source	GULF DEEP WATER ACCESS	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	28.31815	-82.87384	10	Point-source one-time discharge	GALLONS (Liquids Only)
FLORIDA	Towing Vessel	Towing Vessel	Harbor/Ship Assist (Tug)	Harbor	UNITED STATES	Involved in a Marine Casualty	SAVANNAH RIVER	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		32.09074	-81.02158	10	Point-source one-time discharge	GALLONS (Liquids Only)
LA4332FR	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Acknowledged Pollution Source	Gulf Intracoastal Waterway	"Oil, misc: Motor"	OIL	Petroleum	"Oil, misc"	Motor	30.00774	-89.92899	10	Point-source one-time discharge	GALLONS (Liquids Only)
DONALD W. GIBSON TRUCK	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNITED STATES	Alleged Pollution Source		"Oil, misc: Motor"	OIL	Petroleum	"Oil, misc"	Motor	37.31666667	-77.22333333	10	Point-source one-time discharge	GALLONS (Liquids Only)
GODS GRACE	Recreational	Recreational	Sailing Vessels	Motor sailer	UNITED STATES	Acknowledged Pollution Source	ASHLEY RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	32.77432	-79.94867	10	Point-source one-time discharge	GALLONS (Liquids Only)
MIA KELLEY	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	Algiers Canal	"Oil, misc: Lubricating"	OIL	Petroleum	"Oil, misc"	Lubricating	29.835	-90.04066667	10	Point-source one-time discharge	GALLONS (Liquids Only)
HALF MOON BAY	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	"Trawler, Stern"	UNITED STATES	Acknowledged Pollution Source		"Other oil, oil with no CHRIS Code"	OIL	Petroleum	"Other oil, oil with no CHRIS Code"		54.83333333	-165.05	10	Point-source one-time discharge	GALLONS (Liquids Only)
ABOUT TIME	Passenger (Uninspected)	Passenger Ship	General	"General (6 or Fewer, Gross Tonnage < 100)"	UNITED STATES	Acknowledged Pollution Source	BOGUE INLET	"Oil, fuel: No. 1-D"	OIL	Petroleum	"Oil, fuel"	No. 1-D	34.666391	-77.09761	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
